Datum,Value,Code
2007-03-03 00:00:00,10,C02-80
2007-03-03 00:00:00,266,J16-90
2007-03-03 00:00:00,371,PB6090
2007-03-03 00:00:00,180,TB80120G
2007-03-04 00:00:00,196,A01-80-(30)
2007-03-04 00:00:00,1021,AHEK
2007-03-04 00:00:00,10,C02-80
2007-03-04 00:00:00,266,J16-90
2007-03-04 00:00:00,371,PB6090
2007-03-04 00:00:00,180,TB80120G
2007-03-05 00:00:00,202,A01-80-(30)
2007-03-05 00:00:00,1029,AHEK
2007-03-05 00:00:00,10,C02-80
2007-03-05 00:00:00,272,J16-90
2007-03-05 00:00:00,371,PB6090
2007-03-05 00:00:00,187,TB80120G
2007-03-06 00:00:00,207,A01-80-(30)
2007-03-06 00:00:00,1038,AHEK
2007-03-06 00:00:00,10,C02-80
2007-03-06 00:00:00,280,J16-90
2007-03-06 00:00:00,314,PB6090
2007-03-06 00:00:00,187,TB80120G
2007-03-07 00:00:00,209,A01-80-(30)
2007-03-07 00:00:00,1069,AHEK
2007-03-07 00:00:00,10,C02-80
2007-03-07 00:00:00,274,J16-90
2007-03-07 00:00:00,310,PB6090
2007-03-07 00:00:00,186,TB80120G
2007-03-08 00:00:00,212,A01-80-(30)
2007-03-08 00:00:00,1091,AHEK
2007-03-08 00:00:00,16,C02-80
2007-03-08 00:00:00,283,J16-90
2007-03-08 00:00:00,308,PB6090
2007-03-08 00:00:00,188,TB80120G
2007-03-09 00:00:00,198,A01-80-(30)
2007-03-09 00:00:00,1054,AHEK
2007-03-09 00:00:00,16,C02-80
2007-03-09 00:00:00,266,J16-90
2007-03-09 00:00:00,292,PB6090
2007-03-09 00:00:00,182,TB80120G
2007-03-10 00:00:00,191,A01-80-(30)
2007-03-10 00:00:00,999,AHEK
2007-03-10 00:00:00,11,C02-80
2007-03-10 00:00:00,255,J16-90
2007-03-10 00:00:00,267,PB6090
2007-03-10 00:00:00,165,TB80120G
2007-03-11 00:00:00,191,A01-80-(30)
2007-03-11 00:00:00,999,AHEK
2007-03-11 00:00:00,11,C02-80
2007-03-11 00:00:00,255,J16-90
2007-03-11 00:00:00,267,PB6090
2007-03-11 00:00:00,165,TB80120G
2007-03-12 00:00:00,201,A01-80-(30)
2007-03-12 00:00:00,1025,AHEK
2007-03-12 00:00:00,11,C02-80
2007-03-12 00:00:00,267,J16-90
2007-03-12 00:00:00,270,PB6090
2007-03-12 00:00:00,179,TB80120G
2007-03-13 00:00:00,199,A01-80-(30)
2007-03-13 00:00:00,998,AHEK
2007-03-13 00:00:00,11,C02-80
2007-03-13 00:00:00,265,J16-90
2007-03-13 00:00:00,285,PB6090
2007-03-13 00:00:00,174,TB80120G
2007-03-14 00:00:00,192,A01-80-(30)
2007-03-14 00:00:00,993,AHEK
2007-03-14 00:00:00,11,C02-80
2007-03-14 00:00:00,258,J16-90
2007-03-14 00:00:00,289,PB6090
2007-03-14 00:00:00,178,TB80120G
2007-03-15 00:00:00,216,A01-80-(30)
2007-03-15 00:00:00,1005,AHEK
2007-03-15 00:00:00,11,C02-80
2007-03-15 00:00:00,277,J16-90
2007-03-15 00:00:00,288,PB6090
2007-03-15 00:00:00,178,TB80120G
2007-03-16 00:00:00,218,A01-80-(30)
2007-03-16 00:00:00,1036,AHEK
2007-03-16 00:00:00,12,C02-80
2007-03-16 00:00:00,275,J16-90
2007-03-16 00:00:00,354,PB6090
2007-03-16 00:00:00,187,TB80120G
2007-03-17 00:00:00,206,A01-80-(30)
2007-03-17 00:00:00,1017,AHEK
2007-03-17 00:00:00,12,C02-80
2007-03-17 00:00:00,263,J16-90
2007-03-17 00:00:00,334,PB6090
2007-03-17 00:00:00,183,TB80120G
2007-03-18 00:00:00,203,A01-80-(30)
2007-03-18 00:00:00,1017,AHEK
2007-03-18 00:00:00,12,C02-80
2007-03-18 00:00:00,260,J16-90
2007-03-18 00:00:00,334,PB6090
2007-03-18 00:00:00,183,TB80120G
2007-03-19 00:00:00,240,A01-80-(30)
2007-03-19 00:00:00,1096,AHEK
2007-03-19 00:00:00,12,C02-80
2007-03-19 00:00:00,297,J16-90
2007-03-19 00:00:00,345,PB6090
2007-03-19 00:00:00,198,TB80120G
2007-03-20 00:00:00,303,A01-80-(30)
2007-03-20 00:00:00,1108,AHEK
2007-03-20 00:00:00,12,C02-80
2007-03-20 00:00:00,416,J16-90
2007-03-20 00:00:00,365,PB6090
2007-03-20 00:00:00,192,TB80120G
2007-03-21 00:00:00,295,A01-80-(30)
2007-03-21 00:00:00,1130,AHEK
2007-03-21 00:00:00,13,C02-80
2007-03-21 00:00:00,398,J16-90
2007-03-21 00:00:00,390,PB6090
2007-03-21 00:00:00,201,TB80120G
2007-03-22 00:00:00,288,A01-80-(30)
2007-03-22 00:00:00,1087,AHEK
2007-03-22 00:00:00,13,C02-80
2007-03-22 00:00:00,393,J16-90
2007-03-22 00:00:00,365,PB6090
2007-03-22 00:00:00,200,TB80120G
2007-03-23 00:00:00,291,A01-80-(30)
2007-03-23 00:00:00,1108,AHEK
2007-03-23 00:00:00,13,C02-80
2007-03-23 00:00:00,396,J16-90
2007-03-23 00:00:00,389,PB6090
2007-03-23 00:00:00,212,TB80120G
2007-03-24 00:00:00,280,A01-80-(30)
2007-03-24 00:00:00,1089,AHEK
2007-03-24 00:00:00,13,C02-80
2007-03-24 00:00:00,381,J16-90
2007-03-24 00:00:00,363,PB6090
2007-03-24 00:00:00,195,TB80120G
2007-03-25 00:00:00,279,A01-80-(30)
2007-03-25 00:00:00,1084,AHEK
2007-03-25 00:00:00,13,C02-80
2007-03-25 00:00:00,379,J16-90
2007-03-25 00:00:00,363,PB6090
2007-03-25 00:00:00,195,TB80120G
2007-03-26 00:00:00,313,A01-80-(30)
2007-03-26 00:00:00,1150,AHEK
2007-03-26 00:00:00,14,C02-80
2007-03-26 00:00:00,418,J16-90
2007-03-26 00:00:00,383,PB6090
2007-03-26 00:00:00,211,TB80120G
2007-03-27 00:00:00,316,A01-80-(30)
2007-03-27 00:00:00,1148,AHEK
2007-03-27 00:00:00,16,C02-80
2007-03-27 00:00:00,424,J16-90
2007-03-27 00:00:00,390,PB6090
2007-03-27 00:00:00,221,TB80120G
2007-03-28 00:00:00,304,A01-80-(30)
2007-03-28 00:00:00,1186,AHEK
2007-03-28 00:00:00,16,C02-80
2007-03-28 00:00:00,421,J16-90
2007-03-28 00:00:00,442,PB6090
2007-03-28 00:00:00,225,TB80120G
2007-03-29 00:00:00,300,A01-80-(30)
2007-03-29 00:00:00,1174,AHEK
2007-03-29 00:00:00,17,C02-80
2007-03-29 00:00:00,404,J16-90
2007-03-29 00:00:00,436,PB6090
2007-03-29 00:00:00,223,TB80120G
2007-03-30 00:00:00,292,A01-80-(30)
2007-03-30 00:00:00,1137,AHEK
2007-03-30 00:00:00,17,C02-80
2007-03-30 00:00:00,405,J16-90
2007-03-30 00:00:00,348,PB6090
2007-03-30 00:00:00,196,TB80120G
2007-03-31 00:00:00,275,A01-80-(30)
2007-03-31 00:00:00,1092,AHEK
2007-03-31 00:00:00,17,C02-80
2007-03-31 00:00:00,388,J16-90
2007-03-31 00:00:00,334,PB6090
2007-03-31 00:00:00,174,TB80120G
2007-04-01 00:00:00,275,A01-80-(30)
2007-04-01 00:00:00,1092,AHEK
2007-04-01 00:00:00,17,C02-80
2007-04-01 00:00:00,388,J16-90
2007-04-01 00:00:00,334,PB6090
2007-04-01 00:00:00,174,TB80120G
2007-04-02 00:00:00,276,A01-80-(30)
2007-04-02 00:00:00,1118,AHEK
2007-04-02 00:00:00,17,C02-80
2007-04-02 00:00:00,395,J16-90
2007-04-02 00:00:00,334,PB6090
2007-04-02 00:00:00,174,TB80120G
2007-04-03 00:00:00,285,A01-80-(30)
2007-04-03 00:00:00,1111,AHEK
2007-04-03 00:00:00,17,C02-80
2007-04-03 00:00:00,398,J16-90
2007-04-03 00:00:00,367,PB6090
2007-04-03 00:00:00,184,TB80120G
2007-04-04 00:00:00,280,A01-80-(30)
2007-04-04 00:00:00,1056,AHEK
2007-04-04 00:00:00,23,C02-80
2007-04-04 00:00:00,396,J16-90
2007-04-04 00:00:00,355,PB6090
2007-04-04 00:00:00,185,TB80120G
2007-04-05 00:00:00,284,A01-80-(30)
2007-04-05 00:00:00,1070,AHEK
2007-04-05 00:00:00,23,C02-80
2007-04-05 00:00:00,391,J16-90
2007-04-05 00:00:00,390,PB6090
2007-04-05 00:00:00,190,TB80120G
2007-04-06 00:00:00,261,A01-80-(30)
2007-04-06 00:00:00,1008,AHEK
2007-04-06 00:00:00,21,C02-80
2007-04-06 00:00:00,368,J16-90
2007-04-06 00:00:00,381,PB6090
2007-04-06 00:00:00,185,TB80120G
2007-04-07 00:00:00,255,A01-80-(30)
2007-04-07 00:00:00,997,AHEK
2007-04-07 00:00:00,21,C02-80
2007-04-07 00:00:00,360,J16-90
2007-04-07 00:00:00,351,PB6090
2007-04-07 00:00:00,167,TB80120G
2007-04-08 00:00:00,255,A01-80-(30)
2007-04-08 00:00:00,993,AHEK
2007-04-08 00:00:00,21,C02-80
2007-04-08 00:00:00,360,J16-90
2007-04-08 00:00:00,349,PB6090
2007-04-08 00:00:00,167,TB80120G
2007-04-09 00:00:00,255,A01-80-(30)
2007-04-09 00:00:00,993,AHEK
2007-04-09 00:00:00,21,C02-80
2007-04-09 00:00:00,387,J16-90
2007-04-09 00:00:00,349,PB6090
2007-04-09 00:00:00,167,TB80120G
2007-04-10 00:00:00,278,A01-80-(30)
2007-04-10 00:00:00,1111,AHEK
2007-04-10 00:00:00,23,C02-80
2007-04-10 00:00:00,404,J16-90
2007-04-10 00:00:00,411,PB6090
2007-04-10 00:00:00,178,TB80120G
2007-04-11 00:00:00,306,A01-80-(30)
2007-04-11 00:00:00,1123,AHEK
2007-04-11 00:00:00,27,C02-80
2007-04-11 00:00:00,453,J16-90
